,Quote_dt,discount,Home_policy_ind,state_id,quoted_amt,Prior_carrier_grp,credit_score,Cov_package_type,CAT_zone,policy_id,number_drivers,num_loaned_veh,num_owned_veh,num_leased_veh,total_number_veh,convert_ind,primary_parking
11749,2015-09-21,Yes,N,NJ,"$3,729",Carrier_3,672.0,Low,2.0,policy_48301,1,2,3,2,7,1.0,unknown
11751,2016-07-09,Yes,Y,FL,"$2,167",Carrier_4,647.0,Low,2.0,policy_26074,1,2,1,0,3,0.0,parking garage
11752,2018-05-23,No,N,FL,"$4,311",Carrier_2,670.0,Medium,2.0,policy_29303,1,0,1,0,1,0.0,unknown
11753,2017-07-19,No,N,NY,"$4,988",Carrier_5,657.0,Medium,4.0,policy_85930,1,1,1,0,2,0.0,street
11754,2016-11-12,No,N,NJ,"$8,350",Carrier_1,577.0,Medium,3.0,policy_60567,1,1,2,1,4,1.0,unknown
11755,2017-02-10,No,N,WI,"$28,677",Carrier_5,512.0,High,4.0,policy_97577,1,0,3,0,3,0.0,unknown
11756,2016-10-11,No,N,NJ,"$1,678",Carrier_5,699.0,Low,2.0,policy_59672,3,1,1,2,4,0.0,home/driveway
11757,2015-04-28,Yes,Y,NY,"$5,778",Carrier_5,623.0,Medium,2.0,policy_89270,1,1,3,0,4,0.0,unknown
11758,2015-10-04,Yes,N,NJ,"$2,459",Carrier_5,609.0,High,5.0,policy_48553,2,1,1,1,3,0.0,unknown
11759,2017-07-28,No,N,NJ,"$1,480",Carrier_4,731.0,Medium,2.0,policy_56619,2,2,2,0,4,0.0,unknown
11763,2016-12-07,Yes,Y,NY,"$13,465",Carrier_5,607.0,High,5.0,policy_75433,1,2,2,1,5,0.0,unknown
11764,2017-03-21,No,N,MN,"$1,872",Carrier_5,761.0,Medium,4.0,policy_36859,1,2,1,0,3,0.0,unknown
11765,2018-04-24,No,N,GA,"$23,391",Carrier_6,547.0,Medium,4.0,policy_31166,2,1,1,2,4,0.0,unknown
11766,2015-04-14,No,N,NJ,"$1,558",Carrier_6,755.0,Low,2.0,policy_60033,3,1,1,1,3,0.0,home/driveway
11767,2015-02-09,No,N,NJ,"$1,352",Carrier_3,755.0,Low,1.0,policy_49719,1,0,3,0,3,0.0,unknown
11769,2015-11-14,No,N,MN,"$6,132",Carrier_3,486.0,Medium,3.0,policy_35824,4,2,2,0,4,0.0,unknown
11772,2016-01-25,No,N,GA,"$12,163",Carrier_2,559.0,High,2.0,policy_31721,2,2,1,1,4,0.0,unknown
11773,2015-10-28,No,N,NJ,"$2,757",Carrier_3,617.0,Low,1.0,policy_58222,1,3,1,0,4,1.0,unknown
11774,2015-08-29,No,N,FL,"$2,064",Other,674.0,Low,3.0,policy_14136,2,1,3,0,4,0.0,street
11775,2016-08-15,Yes,Y,FL,"$6,091",Other,542.0,High,2.0,policy_13546,1,2,1,2,5,0.0,unknown
11776,2016-07-15,No,N,MN,"$2,116",Carrier_4,667.0,High,5.0,policy_39646,6,1,2,0,3,0.0,unknown
11778,2016-01-01,No,N,NY,"$7,587",Carrier_3,530.0,High,4.0,policy_81055,3,2,1,1,4,0.0,unknown
11779,2016-01-12,No,N,FL,"$5,044",Carrier_5,605.0,Low,1.0,policy_11170,4,0,2,0,2,0.0,unknown
11780,2017-05-28,No,N,FL,"$2,267",Carrier_2,596.0,Medium,2.0,policy_18872,1,0,2,1,3,0.0,home/driveway
11781,2016-03-04,Yes,Y,FL,"$3,018",Carrier_4,652.0,Low,2.0,policy_7188,1,1,1,0,2,0.0,parking garage
11782,2016-04-07,No,N,NJ,"$1,312",Carrier_6,768.0,Low,5.0,policy_55849,1,2,2,2,6,0.0,home/driveway
11783,2016-07-10,No,N,FL,"$4,665",Carrier_7,601.0,Medium,5.0,policy_16384,2,3,3,0,6,0.0,unknown
11784,2017-11-08,Yes,Y,NJ,"$1,238",Carrier_3,783.0,Medium,1.0,policy_51426,1,1,2,0,3,0.0,home/driveway
11785,2015-07-21,No,N,NY,"$9,219",Carrier_7,543.0,Medium,3.0,policy_92486,1,2,3,1,6,0.0,unknown
11788,2017-10-23,No,N,NJ,"$2,023",Carrier_3,661.0,High,3.0,policy_60553,3,0,1,0,1,0.0,home/driveway
11790,2015-07-17,No,N,FL,"$3,503",Carrier_6,635.0,Medium,2.0,policy_12013,3,2,2,1,5,0.0,parking garage
11791,2016-12-20,No,N,NY,"$8,821",Carrier_3,580.0,High,5.0,policy_81597,1,3,2,1,6,0.0,unknown
11792,2016-04-23,Yes,Y,NY,"$3,342",Carrier_6,653.0,Medium,2.0,policy_65110,1,2,2,0,4,0.0,unknown
11793,2016-04-10,Yes,Y,NJ,"$1,668",Carrier_1,711.0,Low,2.0,policy_43738,1,2,3,2,7,0.0,unknown
11795,2015-09-01,Yes,Y,FL,"$4,368",Carrier_2,670.0,Medium,3.0,policy_14146,1,3,1,0,4,0.0,unknown
11796,2016-08-16,Yes,Y,WI,"$8,621",Carrier_8,575.0,High,1.0,policy_99549,1,0,2,0,2,0.0,unknown
11799,2015-04-30,No,N,NY,"$3,576",Carrier_5,684.0,High,3.0,policy_72664,3,0,1,0,1,1.0,parking garage
11800,2018-08-22,No,N,FL,"$1,534",Other,735.0,Medium,1.0,policy_21297,2,2,1,0,3,0.0,unknown
11803,2015-10-23,No,N,NY,"$4,713",Carrier_3,618.0,Medium,3.0,policy_65405,3,2,1,0,3,0.0,unknown
11805,2016-03-16,No,N,GA,"$12,117",Carrier_3,561.0,Medium,3.0,policy_34752,1,1,1,0,2,0.0,unknown
11806,2018-08-10,Yes,Y,FL,"$1,844",Carrier_2,777.0,Medium,3.0,policy_8221,1,1,2,0,3,0.0,unknown
11810,2016-01-12,No,N,NY,"$13,024",Carrier_3,572.0,Low,1.0,policy_76646,1,1,2,1,4,0.0,unknown
11813,2015-04-29,Yes,Y,FL,"$2,733",Carrier_2,581.0,Medium,1.0,policy_12942,1,2,2,0,4,0.0,unknown
11814,2018-04-16,No,N,FL,"$3,017",Carrier_2,667.0,Low,1.0,policy_22132,3,1,2,2,5,0.0,unknown
11817,2017-02-14,No,N,CT,"$2,184",Carrier_7,631.0,High,3.0,policy_5072,2,0,1,0,1,0.0,unknown
11819,2015-11-21,Yes,N,CT,"$2,808",Carrier_2,634.0,Medium,4.0,policy_5232,2,0,1,0,1,0.0,unknown
11820,2016-04-29,Yes,Y,GA,"$4,469",Carrier_1,676.0,Medium,4.0,policy_30661,3,1,1,0,2,0.0,unknown
11823,2015-01-16,Yes,N,GA,"$10,593",Carrier_5,524.0,High,5.0,policy_31296,3,1,1,1,3,0.0,unknown
11824,2015-08-23,No,N,FL,"$6,503",Carrier_6,597.0,High,4.0,policy_12050,2,2,1,0,3,0.0,unknown
11825,2015-03-12,No,N,MN,"$4,413",Carrier_5,596.0,Medium,2.0,policy_36593,3,3,2,1,6,0.0,home/driveway
11827,2015-07-14,No,N,NJ,"$8,437",Carrier_6,575.0,Medium,2.0,policy_43188,3,1,3,1,5,0.0,parking garage
11828,2016-02-13,No,N,NJ,"$3,072",Carrier_3,636.0,Medium,3.0,policy_54290,2,2,1,0,3,0.0,unknown
11829,2015-03-22,No,N,NY,"$8,845",Carrier_8,555.0,High,5.0,policy_67095,1,1,3,0,4,0.0,unknown
11830,2015-08-25,No,N,FL,"$1,830",Carrier_2,764.0,Low,2.0,policy_30310,3,0,3,0,3,0.0,unknown
11831,2016-08-25,No,N,NY,"$7,747",Carrier_2,534.0,Medium,3.0,policy_86124,1,3,3,0,6,0.0,home/driveway
11832,2016-11-19,Yes,Y,NY,"$7,896",Carrier_5,565.0,High,5.0,policy_90150,1,1,3,1,5,0.0,unknown
11833,2018-03-31,Yes,Y,FL,"$7,307",Carrier_7,556.0,High,5.0,policy_25936,1,1,2,1,4,0.0,unknown
11834,2017-06-22,No,N,GA,"$24,637",Carrier_7,590.0,High,5.0,policy_32045,3,1,1,0,2,0.0,unknown
11836,2015-05-30,No,N,CT,"$2,633",Carrier_2,635.0,Low,2.0,policy_5138,2,0,1,0,1,0.0,unknown
11839,2016-02-29,No,N,NY,"$8,093",Carrier_3,532.0,High,5.0,policy_84128,1,1,2,0,3,0.0,unknown
11840,2016-05-21,No,N,GA,"$23,881",Carrier_1,537.0,High,5.0,policy_30596,2,1,2,0,3,0.0,home/driveway
11841,2018-09-26,No,N,FL,"$1,831",Carrier_2,749.0,Medium,3.0,policy_16754,2,1,2,1,4,0.0,unknown
11842,2015-04-22,Yes,N,NY,"$6,438",Carrier_8,524.0,High,4.0,policy_63832,1,1,2,0,3,0.0,unknown
11843,2018-08-15,Yes,N,FL,$446,Carrier_5,751.0,Medium,2.0,policy_28531,1,1,2,0,3,0.0,street
11845,2017-08-22,No,N,NY,"$6,230",Carrier_6,580.0,High,2.0,policy_65986,2,1,1,1,3,0.0,unknown
11846,2018-03-24,Yes,N,NJ,$261,Carrier_5,833.0,Low,2.0,policy_53068,3,3,2,0,5,1.0,home/driveway
11847,2015-02-19,No,N,NJ,"$1,226",Carrier_5,779.0,Low,2.0,policy_47975,2,1,3,1,5,0.0,unknown
11850,2018-03-22,No,N,NJ,$784,Carrier_3,716.0,Low,1.0,policy_50438,3,0,1,0,1,0.0,unknown
11852,2016-11-07,No,N,FL,"$2,708",Other,671.0,Medium,3.0,policy_14988,2,1,1,0,2,0.0,parking garage
11854,2018-04-01,Yes,Y,NY,"$3,441",Carrier_1,637.0,High,1.0,policy_68672,3,0,2,0,2,0.0,unknown
11855,2016-11-21,No,N,FL,"$4,123",Carrier_5,607.0,Medium,3.0,policy_11604,1,2,2,1,5,0.0,unknown
11856,2018-12-20,Yes,Y,NJ,"$3,805",Carrier_5,635.0,Low,5.0,policy_55285,2,2,1,0,3,0.0,unknown
11857,2018-08-23,Yes,Y,FL,"$2,455",Carrier_2,607.0,High,4.0,policy_29374,2,0,2,0,2,0.0,unknown
11858,2018-11-26,No,N,GA,"$8,970",Carrier_8,535.0,High,1.0,policy_32398,1,0,1,1,2,0.0,home/driveway
11859,2016-09-12,Yes,Y,NY,"$7,244",Carrier_5,533.0,High,4.0,policy_64138,3,2,2,0,4,0.0,unknown
11860,2018-11-05,No,N,FL,"$6,839",Carrier_5,572.0,High,5.0,policy_19009,1,1,1,1,3,0.0,unknown
11861,2015-08-18,Yes,Y,NY,"$4,702",Carrier_6,686.0,Medium,4.0,policy_74410,2,3,3,0,6,0.0,unknown
11862,2017-02-19,No,N,NY,"$9,576",Carrier_3,514.0,High,3.0,policy_77909,2,1,3,1,5,1.0,unknown
11864,2017-02-21,No,N,FL,"$3,064",Carrier_1,639.0,High,1.0,policy_25213,2,2,1,0,3,0.0,unknown
11865,2016-10-11,Yes,N,NJ,"$3,507",Carrier_4,575.0,Medium,1.0,policy_41410,1,1,2,1,4,0.0,unknown
11866,2016-01-09,Yes,Y,FL,"$1,938",Other,788.0,Low,2.0,policy_8980,1,1,2,0,3,0.0,unknown
11868,2016-11-21,No,N,MN,"$4,812",Carrier_5,639.0,Medium,1.0,policy_37986,1,2,1,0,3,0.0,unknown
11869,2015-11-04,Yes,N,MN,$675,Carrier_4,816.0,High,5.0,policy_38392,3,1,1,0,2,0.0,unknown
11870,2016-01-21,No,N,CT,"$9,255",Carrier_2,515.0,Medium,3.0,policy_3909,2,1,1,0,2,0.0,unknown
11871,2016-12-10,No,N,NY,"$4,197",Carrier_2,622.0,Medium,3.0,policy_74906,4,2,1,0,3,0.0,unknown
11873,2015-11-09,No,N,FL,"$2,050",Carrier_1,664.0,Medium,4.0,policy_19283,1,2,2,0,4,0.0,unknown
11874,2015-12-04,No,N,FL,"$1,658",Other,765.0,Medium,1.0,policy_15162,2,1,2,1,4,0.0,unknown
11875,2016-10-06,No,N,FL,"$2,072",Carrier_5,580.0,High,5.0,policy_23226,3,2,1,0,3,0.0,home/driveway
11877,2018-05-13,No,N,FL,"$4,290",Carrier_7,706.0,Medium,5.0,policy_12893,4,1,2,0,3,0.0,unknown
11878,2018-06-10,Yes,Y,NY,"$3,175",Carrier_5,662.0,Low,2.0,policy_83480,1,2,1,1,4,0.0,parking garage
11880,2018-08-22,No,N,FL,"$2,334",Carrier_8,642.0,High,4.0,policy_29043,3,1,2,1,4,0.0,unknown
11882,2018-05-29,No,N,NY,"$9,851",Carrier_1,581.0,High,3.0,policy_68239,2,0,1,0,1,0.0,unknown
11885,2015-02-10,No,N,CT,"$3,281",Carrier_4,612.0,Medium,2.0,policy_3811,1,0,3,0,3,0.0,unknown
11886,2018-02-08,No,N,FL,"$1,986",Carrier_7,768.0,Medium,1.0,policy_29151,2,2,2,0,4,0.0,unknown
11890,2018-11-29,Yes,Y,NY,"$3,062",Carrier_3,680.0,Medium,2.0,policy_68338,2,3,3,1,7,1.0,unknown
11891,2016-07-25,Yes,Y,NJ,"$4,063",Carrier_3,629.0,Low,3.0,policy_58576,2,1,2,1,4,0.0,unknown
11892,2015-07-24,Yes,N,NY,"$10,300",Carrier_1,558.0,Medium,5.0,policy_72190,4,0,1,0,1,0.0,unknown
11893,2017-01-04,No,N,NJ,"$2,561",Carrier_4,639.0,High,4.0,policy_51614,1,1,1,0,2,0.0,street
11894,2018-04-23,No,N,NJ,"$1,920",Carrier_1,829.0,Low,1.0,policy_50014,1,3,1,0,4,0.0,unknown
11895,2018-02-04,No,N,NJ,"$2,244",Carrier_6,688.0,High,2.0,policy_41247,3,3,2,0,5,0.0,unknown
11898,2016-09-30,Yes,Y,MN,"$1,584",Carrier_4,738.0,Low,1.0,policy_35860,1,1,2,1,4,1.0,unknown
11899,2018-02-04,No,N,NY,"$10,550",Carrier_3,481.0,High,5.0,policy_82482,5,3,2,0,5,0.0,unknown
11900,2018-06-01,No,N,CT,"$5,047",Carrier_4,667.0,Medium,3.0,policy_3817,1,3,2,0,5,0.0,unknown
11902,2016-05-27,Yes,Y,CT,"$4,065",Carrier_5,646.0,Medium,3.0,policy_5951,3,1,1,1,3,0.0,unknown
11904,2017-08-31,No,N,MN,"$4,520",Carrier_3,614.0,Low,3.0,policy_38277,1,1,3,1,5,0.0,unknown
11905,2016-11-24,No,N,GA,"$3,301",Carrier_3,577.0,Low,1.0,policy_30591,3,3,1,1,5,0.0,home/driveway
11906,2018-04-08,Yes,N,FL,"$1,398",Carrier_5,763.0,Low,1.0,policy_28536,1,0,1,1,2,0.0,unknown
11907,2015-09-27,Yes,Y,CT,"$3,894",Carrier_2,637.0,Low,1.0,policy_5670,2,2,2,0,4,0.0,unknown
11909,2015-12-09,No,N,GA,"$26,275",Carrier_6,570.0,High,5.0,policy_32351,1,2,2,0,4,0.0,unknown
11910,2015-12-12,Yes,Y,NJ,"$1,148",Carrier_6,717.0,Medium,5.0,policy_47857,2,2,2,0,4,0.0,street
11911,2017-09-15,No,N,FL,"$3,577",Carrier_5,638.0,High,1.0,policy_8727,1,2,1,0,3,0.0,unknown
11914,2017-10-14,No,N,NY,"$9,751",Carrier_6,467.0,Medium,3.0,policy_91982,1,1,1,0,2,0.0,unknown
11916,2015-08-24,Yes,Y,NJ,"$1,947",Carrier_1,780.0,Low,2.0,policy_58985,1,2,2,2,6,0.0,unknown
11917,2017-12-03,No,N,NJ,"$2,914",Carrier_3,654.0,Medium,1.0,policy_47654,4,1,1,1,3,0.0,unknown
11918,2016-06-05,No,N,NJ,"$4,702",Carrier_3,648.0,Low,1.0,policy_44605,3,1,1,1,3,0.0,unknown
11919,2016-06-14,No,N,NY,"$6,188",Carrier_6,546.0,High,5.0,policy_77698,6,1,1,1,3,0.0,unknown
11920,2015-09-29,No,N,FL,"$2,916",Other,673.0,High,2.0,policy_24133,1,3,1,1,5,0.0,unknown
11921,2017-06-26,No,N,NJ,"$4,647",Carrier_2,659.0,High,4.0,policy_46580,2,0,1,0,1,0.0,unknown
11922,2016-07-26,No,N,MN,"$1,132",Carrier_7,699.0,Medium,3.0,policy_40287,1,3,1,0,4,0.0,unknown
11923,2015-09-24,No,N,WI,"$35,258",Carrier_5,514.0,High,4.0,policy_96473,2,3,2,0,5,0.0,unknown
11924,2018-09-01,No,N,WI,"$7,632",Carrier_7,572.0,High,4.0,policy_99791,1,1,3,0,4,0.0,street
11926,2016-06-26,No,N,NY,"$5,691",Carrier_3,607.0,High,1.0,policy_85649,1,2,3,1,6,0.0,home/driveway
11927,2018-04-04,Yes,N,CT,"$7,243",Carrier_3,542.0,High,5.0,policy_5460,1,1,1,1,3,0.0,unknown
11928,2015-09-06,No,N,NY,"$1,886",Carrier_8,739.0,Low,3.0,policy_83815,2,0,3,0,3,1.0,street
11929,2015-01-20,No,N,NY,"$10,991",Carrier_4,534.0,Medium,3.0,policy_71982,1,2,3,0,5,0.0,unknown
11930,2015-04-26,No,N,NY,"$5,533",Carrier_5,666.0,High,4.0,policy_79948,1,1,3,0,4,0.0,unknown
11931,2016-08-18,Yes,Y,WI,"$39,906",Carrier_7,563.0,High,4.0,policy_97492,1,1,3,1,5,0.0,home/driveway
11932,2018-09-08,No,N,WI,"$5,170",Carrier_6,585.0,Medium,3.0,policy_99583,2,1,2,0,3,0.0,unknown
11934,2018-06-10,No,N,WI,"$27,020",Carrier_2,618.0,High,5.0,policy_97920,1,0,1,0,1,0.0,unknown
11936,2015-04-12,No,N,FL,"$1,781",Carrier_6,725.0,Medium,3.0,policy_23690,1,1,2,0,3,0.0,home/driveway
11937,2015-04-11,Yes,Y,AL,"$36,593",Carrier_3,533.0,Medium,1.0,policy_1575,3,3,2,0,5,0.0,unknown
11938,2017-03-04,Yes,Y,FL,"$1,620",Carrier_1,704.0,Low,2.0,policy_27894,1,2,1,0,3,0.0,street
11939,2018-09-02,No,N,NY,"$9,765",Carrier_4,522.0,Low,3.0,policy_65598,2,1,1,0,2,0.0,unknown
11940,2015-04-13,No,N,NJ,"$2,632",Carrier_5,653.0,Medium,3.0,policy_58102,2,2,1,1,4,0.0,unknown
11941,2015-07-01,No,N,FL,"$1,823",Carrier_6,767.0,Medium,2.0,policy_7508,1,3,1,1,5,0.0,unknown
11942,2017-02-07,No,N,CT,"$3,526",Carrier_7,660.0,Low,4.0,policy_2285,3,2,2,1,5,0.0,unknown
11943,2016-07-17,No,N,NJ,"$3,288",Carrier_6,710.0,High,1.0,policy_60266,1,2,2,1,5,0.0,unknown
11944,2017-09-01,No,N,FL,"$2,098",Carrier_2,639.0,High,5.0,policy_14527,1,1,1,1,3,0.0,parking garage
11946,2018-05-04,No,N,FL,"$1,507",Carrier_6,724.0,High,3.0,policy_22012,3,1,3,0,4,0.0,unknown
11948,2015-09-24,Yes,Y,NY,"$8,774",Carrier_7,500.0,High,3.0,policy_73921,3,1,3,1,5,0.0,unknown
11949,2016-02-08,No,N,NJ,"$2,748",Carrier_5,594.0,Medium,2.0,policy_48602,3,1,1,1,3,0.0,unknown
11950,2015-08-26,Yes,Y,FL,"$3,919",Carrier_2,621.0,Low,2.0,policy_25650,2,2,1,0,3,0.0,parking garage
11951,2015-04-26,Yes,Y,NY,"$6,443",Carrier_8,523.0,High,4.0,policy_74222,3,2,2,1,5,1.0,unknown
11953,2018-05-21,No,N,NY,"$1,423",Carrier_1,764.0,Medium,3.0,policy_70494,1,3,1,0,4,0.0,home/driveway
11954,2015-10-07,No,N,GA,"$18,875",Carrier_7,607.0,High,5.0,policy_30625,1,0,1,0,1,0.0,parking garage
11955,2018-05-23,No,N,FL,"$2,826",Carrier_6,669.0,Medium,2.0,policy_16420,3,2,1,0,3,0.0,unknown
11957,2016-12-12,No,N,AL,"$38,036",Carrier_7,480.0,Medium,4.0,policy_810,1,1,1,1,3,0.0,unknown
11961,2018-12-15,No,N,FL,"$1,403",Carrier_5,745.0,High,3.0,policy_27186,2,0,1,0,1,1.0,home/driveway
11962,2016-07-21,No,N,MN,"$6,393",Carrier_4,500.0,High,4.0,policy_35554,1,2,2,0,4,0.0,parking garage
11964,2017-09-07,No,N,GA,"$18,273",Carrier_6,579.0,High,5.0,policy_31027,5,1,1,0,2,0.0,unknown
11965,2018-07-19,No,N,NY,"$21,279",Carrier_8,579.0,High,4.0,policy_68127,1,2,1,1,4,0.0,unknown
11966,2018-06-20,No,N,FL,"$4,577",Carrier_7,730.0,Medium,3.0,policy_14207,4,1,1,1,3,0.0,unknown
11967,2015-05-17,No,N,NY,"$2,683",Carrier_8,670.0,Medium,3.0,policy_63016,2,1,1,0,2,0.0,unknown
11968,2015-12-11,No,N,CT,"$2,947",Other,617.0,Medium,3.0,policy_3268,5,2,2,0,4,0.0,home/driveway
11970,2015-09-20,No,N,MN,"$1,319",Carrier_1,805.0,Low,1.0,policy_37393,1,2,1,2,5,0.0,unknown
11971,2018-07-22,No,N,FL,"$5,093",Carrier_2,725.0,Medium,2.0,policy_9436,3,0,2,2,4,1.0,street
11973,2018-12-09,No,N,AL,"$37,464",Carrier_2,461.0,High,4.0,policy_1141,2,3,2,0,5,0.0,unknown
11974,2016-06-26,No,N,FL,"$3,676",Carrier_1,647.0,Low,2.0,policy_12741,3,1,3,0,4,1.0,home/driveway
11977,2015-07-12,No,N,NY,"$9,444",Carrier_8,554.0,High,4.0,policy_88873,4,1,2,1,4,0.0,parking garage
11978,2017-03-09,No,N,WI,"$10,837",Carrier_2,562.0,Medium,5.0,policy_95692,1,2,1,1,4,0.0,parking garage
11979,2016-09-06,Yes,Y,WI,"$24,637",Carrier_2,586.0,High,3.0,policy_98909,3,1,3,1,5,0.0,unknown
11981,2018-04-11,No,N,FL,"$2,854",Carrier_2,648.0,Low,2.0,policy_7089,2,1,2,0,3,0.0,unknown
11982,2016-11-25,Yes,Y,NY,"$4,267",Carrier_5,645.0,Low,1.0,policy_65920,2,1,2,0,3,0.0,unknown
11984,2015-07-15,No,N,NY,"$5,893",Carrier_6,639.0,Low,1.0,policy_78202,3,1,1,0,2,0.0,unknown
11985,2015-04-19,No,N,FL,"$3,218",Carrier_1,614.0,High,5.0,policy_17628,2,2,2,1,5,0.0,unknown
11987,2016-11-14,No,N,NJ,"$3,289",Carrier_8,667.0,High,5.0,policy_43032,1,2,1,0,3,0.0,unknown
11991,2016-12-14,Yes,Y,NJ,"$4,444",Carrier_1,632.0,Low,2.0,policy_52666,2,3,2,0,5,0.0,home/driveway
11992,2016-03-19,Yes,Y,GA,"$22,185",Carrier_2,554.0,High,4.0,policy_33681,3,3,2,0,5,0.0,parking garage
11994,2016-02-28,Yes,N,FL,"$3,770",Other,645.0,Medium,3.0,policy_27417,1,1,3,0,4,0.0,unknown
11996,2016-10-23,No,N,MN,"$6,106",Carrier_4,585.0,Medium,4.0,policy_40226,1,0,2,2,4,0.0,unknown
11997,2018-01-18,No,N,GA,"$11,459",Carrier_7,563.0,High,5.0,policy_31700,1,1,1,1,3,0.0,unknown
12000,2017-02-15,No,N,NJ,$753,Carrier_6,737.0,Low,1.0,policy_44258,3,1,1,0,2,0.0,unknown
12002,2015-07-19,No,N,NY,"$8,325",Carrier_5,541.0,High,4.0,policy_94997,5,1,1,1,3,0.0,unknown
12006,2018-12-08,No,N,FL,"$2,386",Carrier_5,654.0,Low,2.0,policy_7848,1,1,3,1,5,0.0,unknown
12007,2016-07-28,No,N,FL,"$3,512",Carrier_1,626.0,High,5.0,policy_18281,2,1,3,0,4,0.0,unknown
12010,2018-07-25,No,N,FL,$837,Carrier_2,715.0,Medium,1.0,policy_16739,3,0,1,0,1,0.0,unknown
12011,2016-05-06,Yes,Y,WI,"$10,761",Carrier_6,535.0,High,2.0,policy_97155,3,3,2,1,6,0.0,unknown
12012,2016-08-10,No,N,WI,"$17,802",Carrier_1,545.0,High,2.0,policy_98922,1,1,2,1,4,1.0,unknown
12013,2015-04-23,No,N,NJ,"$2,199",Carrier_3,649.0,Medium,1.0,policy_54093,2,1,1,0,2,1.0,unknown
12014,2015-10-29,No,N,MN,"$1,773",Carrier_3,714.0,Medium,1.0,policy_37369,1,1,1,0,2,0.0,unknown
12016,2015-01-28,No,N,FL,"$1,896",Carrier_2,716.0,Low,2.0,policy_12104,4,1,3,0,4,0.0,unknown
12018,2018-10-28,No,N,FL,"$6,867",Carrier_7,488.0,High,5.0,policy_24011,3,2,2,1,5,0.0,home/driveway
12020,2015-05-03,Yes,N,FL,"$3,631",Other,687.0,Medium,2.0,policy_24912,1,2,2,1,5,0.0,unknown
12023,2018-12-07,No,N,FL,"$6,276",Carrier_2,547.0,High,4.0,policy_22063,4,1,2,0,3,0.0,unknown
12024,2015-07-04,No,N,FL,"$2,652",Carrier_2,620.0,High,2.0,policy_9293,2,0,3,1,4,0.0,unknown
12025,2018-01-11,No,N,NY,"$8,730",Carrier_6,625.0,High,4.0,policy_88594,1,1,1,2,4,0.0,parking garage
12027,2016-04-04,No,N,FL,"$3,836",Carrier_7,639.0,Medium,4.0,policy_26026,1,1,1,1,3,0.0,unknown
12028,2015-04-19,Yes,Y,WI,"$18,032",Carrier_8,500.0,High,5.0,policy_96311,1,1,1,1,3,0.0,unknown
12031,2018-02-17,Yes,Y,FL,$713,Carrier_1,726.0,Medium,4.0,policy_26718,2,0,2,0,2,0.0,unknown
12033,2018-02-13,Yes,Y,FL,"$4,284",Carrier_6,653.0,Medium,5.0,policy_6739,3,1,3,0,4,0.0,unknown
12035,2015-06-04,No,N,WI,"$12,181",Carrier_6,433.0,High,4.0,policy_99358,3,1,2,0,3,0.0,unknown
12036,2018-08-15,No,N,WI,"$7,224",Carrier_6,617.0,High,3.0,policy_99774,3,0,1,1,2,0.0,parking garage
12037,2018-03-03,Yes,Y,NY,"$6,176",Carrier_3,571.0,High,5.0,policy_81817,1,2,2,1,5,0.0,unknown
12041,2018-11-07,No,N,NJ,"$7,145",Carrier_6,502.0,High,3.0,policy_53573,5,1,1,1,3,0.0,unknown
12042,2017-09-16,No,N,FL,"$4,596",Carrier_5,656.0,Medium,4.0,policy_22002,2,3,1,0,4,0.0,home/driveway
12043,2018-10-02,Yes,Y,FL,"$3,410",Carrier_2,615.0,Medium,3.0,policy_18945,2,2,1,0,3,0.0,unknown
12044,2018-12-19,No,N,FL,"$9,143",Carrier_1,552.0,Medium,2.0,policy_10715,2,1,1,0,2,0.0,street
12047,2018-12-20,No,N,FL,"$4,168",Carrier_5,593.0,Medium,3.0,policy_12771,3,2,1,0,3,0.0,unknown
12049,2016-06-24,No,N,NY,$932,Carrier_5,673.0,Low,1.0,policy_73083,2,1,2,1,4,0.0,unknown
12050,2015-07-18,Yes,Y,MN,$751,Carrier_3,717.0,Medium,2.0,policy_36949,2,0,3,0,3,0.0,unknown
12055,2016-01-09,No,N,FL,"$1,902",Carrier_5,736.0,Medium,3.0,policy_29755,2,0,3,0,3,0.0,unknown
12056,2015-01-18,No,N,FL,"$6,974",Carrier_1,574.0,Medium,2.0,policy_22788,2,0,3,1,4,0.0,unknown
12057,2016-07-22,No,N,NY,"$1,945",Carrier_3,787.0,Low,2.0,policy_92162,3,1,2,0,3,0.0,unknown
12061,2016-01-12,Yes,Y,MN,"$2,345",Carrier_7,637.0,Low,2.0,policy_39899,1,3,1,0,4,0.0,unknown
12062,2015-02-27,No,N,FL,"$5,053",Carrier_6,683.0,Low,2.0,policy_26678,5,1,1,1,3,0.0,unknown
12063,2016-03-17,No,N,NY,"$3,382",Carrier_5,656.0,High,4.0,policy_83429,3,1,1,1,3,0.0,street
12064,2018-10-18,No,N,MN,"$2,086",Carrier_1,573.0,Medium,3.0,policy_39807,1,1,1,1,3,0.0,unknown
12065,2015-10-26,No,N,NY,"$2,124",Carrier_3,652.0,Low,1.0,policy_82783,4,2,3,1,6,0.0,home/driveway
12066,2018-11-22,No,N,CT,"$1,690",Carrier_5,768.0,Medium,3.0,policy_1882,3,1,1,0,2,0.0,unknown
12069,2015-06-02,No,N,NY,"$1,701",Carrier_1,780.0,Medium,5.0,policy_61506,2,2,3,0,5,0.0,unknown
